t_s,q_pitch,q_roll,q_yaw,q_elbow
12.9167,0.276143,-0.486363,-0.137205,1.504634
12.9333,0.258834,-0.475296,-0.136641,1.504631
12.9500,0.236703,-0.472561,-0.136152,1.504610
12.9667,0.215470,-0.479060,-0.136000,1.504602
13.0500,0.155387,-0.454991,-0.032553,1.148110
13.0667,0.171662,-0.466899,0.025911,1.006664
13.0833,0.160669,-0.489352,0.065557,0.945425
13.1000,0.150823,-0.518671,0.095093,0.893265
13.1167,0.140811,-0.540475,0.121769,0.857074
13.1333,0.127615,-0.552116,0.146164,0.830336
13.1500,0.114321,-0.559035,0.162060,0.817312
13.1667,0.099594,-0.566093,0.172780,0.814413
13.1833,0.090766,-0.570760,0.188661,0.800759
13.2000,0.087589,-0.573282,0.209892,0.781415
13.2167,0.087722,-0.570687,0.232961,0.763141
13.2333,0.088098,-0.568480,0.246874,0.756935
13.2500,0.077128,-0.557097,0.266878,0.759499
13.2667,0.058093,-0.539020,0.287825,0.757185
13.2833,0.056347,-0.528563,0.307844,0.741406
13.3000,0.054005,-0.520082,0.318739,0.737226
13.3167,0.044464,-0.508418,0.334114,0.735996
13.3333,0.028976,-0.495819,0.352890,0.738530
13.3500,0.019255,-0.484521,0.363332,0.733126
13.3667,0.005859,-0.475139,0.376799,0.729022
13.3833,-0.007004,-0.469845,0.388912,0.718400
13.4000,-0.022395,-0.476767,0.405137,0.691832
13.4167,-0.037799,-0.490772,0.419245,0.656113
13.4333,-0.066371,-0.506670,0.426481,0.625037
13.4500,-0.111320,-0.515426,0.424827,0.601083
13.4667,-0.145973,-0.543552,0.426440,0.570055
13.4833,-0.165371,-0.578869,0.431856,0.519063
13.5000,-0.170597,-0.613634,0.439749,0.457193
13.5167,-0.149585,-0.655920,0.450272,0.367774
13.5333,-0.123964,-0.688758,0.466995,0.275244
13.5500,-0.108409,-0.710012,0.487569,0.205064
13.5667,-0.118606,-0.709425,0.506629,0.158598
13.5833,-0.124516,-0.714652,0.524128,0.120374
13.6000,-0.150931,-0.704029,0.537302,0.113537
13.6167,-0.145076,-0.729249,0.542330,0.097804
13.6333,-0.168950,-0.743511,0.542212,0.115406
13.6500,-0.202106,-0.750397,0.545280,0.141851
13.6667,-0.243383,-0.742871,0.550521,0.180119
13.6833,-0.266110,-0.744767,0.555372,0.199910
13.7000,-0.273885,-0.757841,0.555638,0.212201
13.7167,-0.270030,-0.772392,0.555508,0.220005
13.7333,-0.264397,-0.785695,0.556009,0.227083
13.7500,-0.251557,-0.803070,0.556523,0.230704
13.7667,-0.229727,-0.828927,0.557397,0.235629
13.7833,-0.217863,-0.841478,0.558829,0.247367
13.8000,-0.200381,-0.863636,0.558709,0.263802
13.8167,-0.174101,-0.891246,0.557438,0.275357
13.8333,-0.139164,-0.922651,0.557429,0.285259
13.8500,-0.109707,-0.945059,0.559436,0.279368
13.8667,-0.067223,-0.974457,0.562605,0.264895
13.8833,-0.017557,-1.004465,0.567936,0.258412
13.9000,0.024012,-1.027026,0.573513,0.258185
13.9167,0.067443,-1.048445,0.580100,0.272543
13.9333,0.113827,-1.067697,0.588538,0.294858
13.9500,0.114107,-1.056933,0.592124,0.331328
13.9667,0.104347,-1.038064,0.594745,0.352302
13.9833,0.094121,-1.013680,0.599009,0.368490
14.0000,0.087443,-0.987028,0.605208,0.383496
14.0167,0.064195,-0.948555,0.610403,0.401467
14.0333,0.057677,-0.917907,0.618189,0.423221
14.0500,0.053292,-0.888275,0.626211,0.438865
14.0667,0.069879,-0.869877,0.635937,0.469868
14.0833,0.079903,-0.848267,0.644478,0.494745
14.1000,0.095651,-0.832194,0.651581,0.531094
14.1167,0.108591,-0.817541,0.654618,0.593308
14.1333,0.105660,-0.793706,0.650483,0.694813
14.1500,0.096348,-0.768177,0.634522,0.809447
14.1667,0.079903,-0.744116,0.608498,0.900385
14.1833,0.063971,-0.719141,0.567827,0.997517
14.2000,0.045939,-0.697749,0.511194,1.091054
14.2167,0.049774,-0.694888,0.488163,1.100002
14.2333,0.061133,-0.691357,0.457342,1.080330
14.2500,0.062964,-0.690279,0.455029,1.080576
14.2667,0.056480,-0.684450,0.424003,1.104106
14.2833,0.065927,-0.683772,0.398031,1.067819
14.3167,0.090597,-0.694499,0.388943,0.941498
14.3333,0.104523,-0.699697,0.388898,0.901682
14.3500,0.121936,-0.706608,0.394001,0.839768
14.3667,0.136064,-0.709163,0.404098,0.777352
14.3833,0.150852,-0.716018,0.414830,0.732863
14.4000,0.170792,-0.722624,0.423798,0.723026
14.4833,0.165200,-0.692235,0.314357,1.250314
14.5000,0.156506,-0.669808,0.070057,1.398950
14.5167,0.166655,-0.676050,-0.063659,1.491355
14.5333,0.198970,-0.682523,-0.121271,1.504610
14.5500,0.223421,-0.687137,-0.139284,1.504760
14.5667,0.234844,-0.692452,-0.144255,1.504654
14.5833,0.232214,-0.688266,-0.145074,1.504644
14.6000,0.224380,-0.666353,-0.144930,1.504687
14.6167,0.218241,-0.632803,-0.143752,1.504639
14.6333,0.212179,-0.600438,-0.142201,1.504612
14.6500,0.203297,-0.565508,-0.140419,1.504606
