t_s,q_pitch,q_roll,q_yaw,q_elbow
9.9333,-0.228355,-0.271171,0.511745,1.010210
9.9667,-0.229261,-0.271202,0.510281,1.008546
10.0000,-0.228820,-0.271021,0.508484,1.006378
10.0333,-0.229353,-0.270602,0.507920,1.005503
10.0667,-0.230386,-0.270383,0.507284,1.004658
10.1000,-0.231264,-0.269958,0.506727,1.004099
10.1333,-0.232410,-0.269765,0.506114,1.003764
10.1667,-0.233216,-0.269609,0.505543,1.003612
10.2000,-0.233756,-0.268971,0.505106,1.003551
10.2333,-0.234003,-0.268664,0.504646,1.003633
10.2667,-0.233976,-0.268724,0.504150,1.003764
10.3000,-0.233821,-0.267897,0.503848,1.003897
10.3333,-0.233313,-0.267708,0.503466,1.004050
10.3667,-0.232149,-0.267271,0.503208,1.004132
10.4000,-0.230407,-0.266775,0.503031,1.004175
10.4333,-0.227906,-0.266510,0.502899,1.004536
10.4667,-0.225126,-0.266120,0.502825,1.005110
10.5000,-0.221579,-0.265997,0.502780,1.005848
10.5333,-0.216522,-0.266303,0.501916,1.005184
10.5667,-0.211490,-0.266003,0.501272,1.004073
10.6000,-0.205877,-0.266357,0.500657,1.003279
10.6333,-0.198709,-0.269544,0.499360,1.002135
10.6667,-0.189690,-0.274999,0.497426,0.997378
10.7000,-0.179675,-0.278430,0.496666,0.987303
10.7333,-0.169943,-0.271493,0.499499,0.975170
10.7667,-0.159610,-0.268320,0.502396,0.968943
10.8000,-0.149713,-0.268878,0.505607,0.957167
10.8333,-0.141630,-0.269327,0.508412,0.952636
10.8667,-0.131169,-0.273311,0.512507,0.936516
10.9000,-0.121188,-0.283577,0.518005,0.907233
10.9333,-0.108559,-0.295257,0.525705,0.879727
10.9667,-0.099795,-0.294718,0.534779,0.861336
11.0000,-0.086397,-0.314075,0.545090,0.816393
11.0333,-0.085595,-0.321044,0.554403,0.795789
11.0667,-0.087223,-0.351041,0.562290,0.726265
11.1000,-0.088794,-0.366736,0.570027,0.703122
11.1333,-0.096199,-0.392364,0.577591,0.652650
11.1667,-0.100786,-0.401147,0.582241,0.647366
11.2000,-0.113825,-0.414133,0.589406,0.621977
11.2333,-0.133317,-0.432803,0.593917,0.580092
11.2667,-0.154937,-0.442720,0.594471,0.578294
11.3000,-0.182252,-0.495386,0.591263,0.452894
11.3333,-0.201128,-0.547280,0.586272,0.370981
11.3667,-0.221131,-0.600930,0.580617,0.255128
11.4000,-0.237443,-0.647271,0.578844,0.143634
11.4333,-0.251387,-0.667209,0.583816,0.106721
11.4667,-0.264802,-0.703224,0.580531,0.048003
11.5000,-0.275861,-0.722562,0.580538,0.020665
11.5333,-0.289130,-0.751015,0.578869,-0.027664
11.5667,-0.299403,-0.741228,0.595491,0.022903
11.6000,-0.306391,-0.751456,0.595074,0.027781
11.6333,-0.313564,-0.761540,0.594215,0.023055
11.6667,-0.319020,-0.761249,0.601397,0.045851
11.7000,-0.323696,-0.762134,0.607307,0.071332
11.7333,-0.328164,-0.763800,0.611977,0.092433
11.7667,-0.330566,-0.771189,0.613970,0.105794
11.8000,-0.334044,-0.772096,0.616071,0.112563
11.8333,-0.335896,-0.773208,0.616706,0.113882
11.8667,-0.338527,-0.779140,0.616569,0.109220
11.9000,-0.340112,-0.785553,0.616435,0.108990
11.9333,-0.342990,-0.788529,0.618540,0.119437
11.9667,-0.344361,-0.792649,0.618961,0.118045
12.0000,-0.344194,-0.793412,0.619984,0.119748
12.0333,-0.343690,-0.795082,0.621898,0.123310
12.0667,-0.343077,-0.797038,0.623571,0.126115
12.1000,-0.342607,-0.797591,0.624596,0.127534
12.1333,-0.341665,-0.798680,0.625523,0.128467
12.1667,-0.340887,-0.799759,0.626359,0.128000
12.2000,-0.340410,-0.803106,0.627086,0.122618
12.2333,-0.337965,-0.807531,0.627990,0.122126
12.2667,-0.335883,-0.809471,0.628824,0.122691
12.3000,-0.333895,-0.808124,0.631846,0.117661
12.3333,-0.330397,-0.809789,0.635102,0.103411
12.3667,-0.329947,-0.811490,0.636394,0.101536
12.4000,-0.330348,-0.811553,0.638020,0.098737
12.4333,-0.331454,-0.818906,0.637188,0.079265
12.4667,-0.331889,-0.827449,0.636122,0.059476
12.5000,-0.332512,-0.831776,0.636816,0.048393
12.5333,-0.332818,-0.830632,0.638121,0.047980
12.5667,-0.333712,-0.829627,0.640062,0.051140
12.6000,-0.334139,-0.829357,0.640895,0.050607
12.6333,-0.334599,-0.828281,0.642917,0.052579
12.6667,-0.334724,-0.827422,0.644078,0.053936
12.7000,-0.335209,-0.826290,0.645189,0.052600
12.7333,-0.335674,-0.825562,0.646957,0.048603
12.7667,-0.335761,-0.825413,0.648620,0.042488
12.8000,-0.336204,-0.823919,0.650755,0.035899
12.8333,-0.335597,-0.822100,0.653477,0.032099
12.8667,-0.334897,-0.823546,0.655717,0.021583
12.9000,-0.333875,-0.824144,0.658581,-0.006031
12.9333,-0.332216,-0.820790,0.662686,-0.012425
12.9667,-0.329692,-0.823168,0.665691,-0.022492
13.0000,-0.327090,-0.821218,0.669601,-0.025125
13.0333,-0.322306,-0.823168,0.673658,-0.033681
13.0667,-0.316538,-0.820816,0.679879,-0.017732
13.1000,-0.307038,-0.790660,0.699607,0.060967
13.1333,-0.288297,-0.739516,0.729040,0.174917
13.1667,-0.260350,-0.699793,0.753054,0.269249
13.2000,-0.219332,-0.611622,0.792203,0.428741
13.2333,-0.186425,-0.564260,0.810434,0.484877
13.2667,-0.161253,-0.539906,0.817482,0.530616
13.3000,-0.136794,-0.521927,0.823299,0.550576
13.3333,-0.115739,-0.525449,0.822637,0.533761
13.3667,-0.089210,-0.510011,0.827311,0.572988
13.4000,-0.081388,-0.511709,0.820327,0.610202
13.4333,-0.071923,-0.498682,0.818973,0.627183
13.4667,-0.064854,-0.484734,0.815085,0.650549
13.5000,-0.066609,-0.479220,0.812344,0.651081
13.5333,-0.071845,-0.460381,0.806660,0.673814
13.5667,-0.074142,-0.448591,0.800069,0.686405
13.6000,-0.081176,-0.428768,0.792488,0.710442
13.6333,-0.083925,-0.421218,0.784795,0.723937
13.6667,-0.092883,-0.406131,0.775205,0.753427
13.7000,-0.102791,-0.398656,0.765551,0.762819
13.7333,-0.109080,-0.390540,0.757114,0.774804
13.7667,-0.116060,-0.383564,0.748443,0.785944
13.8000,-0.123433,-0.382158,0.742128,0.787174
13.8333,-0.131203,-0.371324,0.732985,0.802656
13.8667,-0.141345,-0.365148,0.725950,0.805889
13.9000,-0.146421,-0.361228,0.719624,0.813197
13.9333,-0.152661,-0.353886,0.710639,0.828467
13.9667,-0.158954,-0.349986,0.702437,0.839833
14.0000,-0.166676,-0.349527,0.698020,0.838322
14.0333,-0.172836,-0.349987,0.693812,0.838570
14.0667,-0.178754,-0.347305,0.686006,0.847456
14.1000,-0.184851,-0.343681,0.676857,0.859910
14.1333,-0.189839,-0.343719,0.668534,0.870078
14.1667,-0.195394,-0.340316,0.659279,0.882472
14.2000,-0.198978,-0.337572,0.651743,0.892313
14.2333,-0.203499,-0.335250,0.644051,0.899312
14.2667,-0.208125,-0.332456,0.636571,0.907208
14.3000,-0.211671,-0.330510,0.629096,0.916412
14.3333,-0.213769,-0.328764,0.623344,0.921596
14.3667,-0.214647,-0.327401,0.617820,0.925381
14.4000,-0.215342,-0.326095,0.612465,0.929234
14.4333,-0.215807,-0.326210,0.608329,0.931600
14.4667,-0.216308,-0.326333,0.606906,0.932145
14.5000,-0.216811,-0.325874,0.604315,0.933416
14.5333,-0.217241,-0.324584,0.600678,0.935979
14.5667,-0.218353,-0.321549,0.594810,0.942924
14.6000,-0.219876,-0.316672,0.588026,0.951841
14.6333,-0.220664,-0.312609,0.582524,0.958352
14.6667,-0.220629,-0.309835,0.580660,0.959280
14.7000,-0.220768,-0.307328,0.579959,0.959233
14.7333,-0.221607,-0.302236,0.576316,0.961795
14.7667,-0.223131,-0.299421,0.573380,0.963846
14.8000,-0.224983,-0.298304,0.571212,0.964216
14.8333,-0.226750,-0.297921,0.570003,0.963525
14.8667,-0.227992,-0.297495,0.568896,0.962369
14.9000,-0.229006,-0.296585,0.567952,0.961331
14.9333,-0.229743,-0.295631,0.567085,0.960426
14.9667,-0.230750,-0.294651,0.566220,0.959398
15.0000,-0.231961,-0.293745,0.565348,0.959287
15.0333,-0.233448,-0.292861,0.563584,0.959827
15.0667,-0.235367,-0.291781,0.560977,0.962243
15.1000,-0.237036,-0.290771,0.558419,0.964046
15.1333,-0.239284,-0.288723,0.555181,0.967998
15.1667,-0.241326,-0.286158,0.551212,0.972991
15.2000,-0.243552,-0.284183,0.546097,0.981005
15.2333,-0.245235,-0.284560,0.540273,0.990200
15.2667,-0.247886,-0.279696,0.534089,1.001827
15.3000,-0.248992,-0.279261,0.530092,1.005795
15.3333,-0.249461,-0.279602,0.527021,1.008195
15.3667,-0.250338,-0.288005,0.520123,1.015496
15.4000,-0.249487,-0.296874,0.512998,1.023821
15.4333,-0.247581,-0.302197,0.508793,1.027685
15.4667,-0.244326,-0.306614,0.506001,1.030913
15.5000,-0.240164,-0.309011,0.503650,1.031950
15.5333,-0.234436,-0.308868,0.499777,1.030649
15.5667,-0.228642,-0.307545,0.497467,1.030337
15.6000,-0.220479,-0.307027,0.493589,1.026841
15.6333,-0.210462,-0.308415,0.489348,1.022305
15.6667,-0.200993,-0.308001,0.486808,1.019415
15.7000,-0.190598,-0.305739,0.484726,1.014949
15.7333,-0.177360,-0.307831,0.482545,1.001021
15.7667,-0.162485,-0.310679,0.482078,0.989500
15.8000,-0.148511,-0.316876,0.481664,0.986993
15.8333,-0.132611,-0.330691,0.479953,0.981940
15.8667,-0.117738,-0.339567,0.479452,0.978287
15.9000,-0.103336,-0.356958,0.477428,0.969054
15.9333,-0.091465,-0.371418,0.476185,0.961352
15.9667,-0.083149,-0.381959,0.475130,0.961982
16.0000,-0.074066,-0.397625,0.473053,0.957184
16.0333,-0.066519,-0.416573,0.470597,0.944132
16.0667,-0.061252,-0.430642,0.469108,0.937515
16.1000,-0.058238,-0.423956,0.471556,0.939875
16.1333,-0.056605,-0.420746,0.472644,0.940030
16.1667,-0.053935,-0.422124,0.473497,0.936169
16.2000,-0.053324,-0.419903,0.474842,0.932603
16.2333,-0.051205,-0.419151,0.477580,0.919146
16.2667,-0.051671,-0.409904,0.482461,0.906739
16.3000,-0.052145,-0.398631,0.486952,0.907696
16.3333,-0.055160,-0.388670,0.490216,0.904745
16.3667,-0.058080,-0.384706,0.493435,0.908507
16.4000,-0.063190,-0.381698,0.496621,0.918748
16.4333,-0.070009,-0.376342,0.499070,0.935214
16.4667,-0.074977,-0.369089,0.500904,0.944701
16.5000,-0.081287,-0.357242,0.502901,0.955481
16.5333,-0.087048,-0.348469,0.503706,0.963239
16.5667,-0.092022,-0.342520,0.503552,0.969691
16.6000,-0.094335,-0.341641,0.503298,0.969330
16.6333,-0.096061,-0.341211,0.502860,0.970347
16.6667,-0.096919,-0.340744,0.502508,0.971495
16.7000,-0.096666,-0.340814,0.502336,0.971301
16.7333,-0.094265,-0.343465,0.501375,0.964895
16.7667,-0.091524,-0.346801,0.500711,0.959292
16.8000,-0.090308,-0.347133,0.500759,0.958154
16.8333,-0.087560,-0.347940,0.501094,0.953039
16.8667,-0.083875,-0.351218,0.501314,0.947484
16.9000,-0.081028,-0.352754,0.501721,0.945782
16.9333,-0.080382,-0.354824,0.501495,0.946592
16.9667,-0.078598,-0.361691,0.500937,0.940399
17.0000,-0.076400,-0.366484,0.500453,0.943116
17.0333,-0.074137,-0.370993,0.499853,0.944772
17.0667,-0.073277,-0.376932,0.498760,0.947090
17.1000,-0.072119,-0.381563,0.497902,0.946930
17.1333,-0.071198,-0.384278,0.497422,0.947297
17.1667,-0.070369,-0.385979,0.497121,0.946268
17.2000,-0.070229,-0.385723,0.497189,0.946157
17.2333,-0.070870,-0.383099,0.497693,0.946626
17.2667,-0.072717,-0.379952,0.498182,0.947698
17.3000,-0.075213,-0.374627,0.499081,0.946449
17.3333,-0.078062,-0.369437,0.499978,0.945988
17.3667,-0.082677,-0.359892,0.501856,0.947436
17.4000,-0.087814,-0.344037,0.505017,0.956812
17.4333,-0.094439,-0.334229,0.506334,0.960906
17.4667,-0.101487,-0.331878,0.505762,0.964698
17.5000,-0.110310,-0.324518,0.505957,0.967626
17.5333,-0.118472,-0.317878,0.506044,0.969237
17.5667,-0.127239,-0.312975,0.505799,0.969575
17.6000,-0.138386,-0.307839,0.504749,0.977577
17.6333,-0.149686,-0.301039,0.503476,0.985370
17.6667,-0.158816,-0.297803,0.501502,0.991473
17.7000,-0.167923,-0.293144,0.499532,0.997207
17.7333,-0.177927,-0.283024,0.499903,0.991412
17.7667,-0.187137,-0.278510,0.498434,0.995939
17.8000,-0.195153,-0.278195,0.495902,1.001377
17.8333,-0.201636,-0.279694,0.494292,1.000671
17.8667,-0.208156,-0.278936,0.492881,1.000235
17.9000,-0.213814,-0.278580,0.491522,1.000248
17.9333,-0.219058,-0.277325,0.490419,1.000767
17.9667,-0.224920,-0.276764,0.488824,1.002836
18.0000,-0.229680,-0.275381,0.488058,1.001657
18.0333,-0.233212,-0.271027,0.488100,0.998620
18.0667,-0.233761,-0.266539,0.488419,0.990761
18.1000,-0.235012,-0.266017,0.488340,0.989624
18.1333,-0.234653,-0.266442,0.488236,0.988592
18.1667,-0.233927,-0.266801,0.488224,0.988382
18.2000,-0.232445,-0.267588,0.488194,0.987734
18.2333,-0.230331,-0.267792,0.488381,0.986354
18.2667,-0.227574,-0.268164,0.488670,0.984533
18.3000,-0.224432,-0.268439,0.489098,0.982754
18.3333,-0.221086,-0.268274,0.489719,0.980921
18.3667,-0.217227,-0.268197,0.490588,0.978230
18.4000,-0.213606,-0.267230,0.491773,0.975652
18.4333,-0.209904,-0.266295,0.492892,0.974318
18.4667,-0.205608,-0.266669,0.494075,0.971400
18.5000,-0.200974,-0.267325,0.495662,0.966988
18.5333,-0.196358,-0.267555,0.497241,0.964219
18.5667,-0.191938,-0.268135,0.498846,0.960875
18.6000,-0.187144,-0.269044,0.500561,0.957213
18.6333,-0.182115,-0.270346,0.502755,0.952907
18.6667,-0.177705,-0.270637,0.504393,0.951610
18.7000,-0.172682,-0.269527,0.506888,0.948530
18.7333,-0.167005,-0.266962,0.510557,0.941182
18.7667,-0.162229,-0.266728,0.513969,0.935038
18.8000,-0.157981,-0.267408,0.516716,0.930636
18.8333,-0.153260,-0.265731,0.520199,0.926897
18.8667,-0.149945,-0.262675,0.522595,0.926439
18.9000,-0.144729,-0.263423,0.526494,0.919343
18.9333,-0.140955,-0.264558,0.530380,0.913059
18.9667,-0.136056,-0.278731,0.533955,0.889604
19.0000,-0.122903,-0.295504,0.541375,0.853852
19.0333,-0.118657,-0.305068,0.547658,0.838415
19.0667,-0.113642,-0.317550,0.549106,0.838911
19.1000,-0.108414,-0.323017,0.553362,0.834952
19.1333,-0.108743,-0.327022,0.557075,0.829531
19.1667,-0.111866,-0.336146,0.561887,0.811495
19.2000,-0.115587,-0.344990,0.565827,0.793511
19.2333,-0.126980,-0.373874,0.560215,0.788823
19.2667,-0.136357,-0.392329,0.562645,0.748951
19.3000,-0.149757,-0.415508,0.564311,0.710514
19.3333,-0.167504,-0.418453,0.567754,0.691620
19.3667,-0.182306,-0.426827,0.566238,0.690087
19.4000,-0.200722,-0.416098,0.575047,0.724567
19.4333,-0.218502,-0.415530,0.577484,0.706348
19.4667,-0.234814,-0.422148,0.578383,0.691130
19.5000,-0.259714,-0.451624,0.572660,0.659681
19.5333,-0.286541,-0.465914,0.568779,0.668201
19.5667,-0.312755,-0.483560,0.562992,0.675891
19.6000,-0.322113,-0.505653,0.562753,0.613032
19.6333,-0.332108,-0.527863,0.562177,0.558979
19.6667,-0.339632,-0.536581,0.565166,0.535866
19.7000,-0.346157,-0.545125,0.566468,0.524420
19.7333,-0.341014,-0.569866,0.569569,0.462005
19.7667,-0.321700,-0.602317,0.575511,0.356858
19.8000,-0.317439,-0.626827,0.581802,0.301193
19.8333,-0.316746,-0.652734,0.583063,0.272987
19.8667,-0.318730,-0.670486,0.583505,0.256401
19.9000,-0.319252,-0.679470,0.587695,0.243447
19.9333,-0.318973,-0.684640,0.593459,0.233692
