t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
9.4000,0.2323,0.3692,0.1610,0.1749,0,0
9.4333,0.2339,0.3698,0.1603,0.1740,0,0
9.4667,0.2345,0.3702,0.1595,0.1731,0,0
9.5000,0.2349,0.3707,0.1585,0.1722,0,0
9.5333,0.2354,0.3708,0.1577,0.1713,0,0
9.5667,0.2356,0.3704,0.1568,0.1703,0,0
9.6000,0.2355,0.3695,0.1558,0.1692,0,0
9.6333,0.2349,0.3686,0.1550,0.1682,0,0
9.6667,0.2354,0.3692,0.1548,0.1680,0,0
9.7000,0.2365,0.3691,0.1549,0.1679,0,0
9.7333,0.2336,0.3649,0.1538,0.1668,0,0
9.7667,0.2337,0.3634,0.1520,0.1649,0,0
9.8000,0.2346,0.3621,0.1500,0.1627,0,0
9.8333,0.2344,0.3597,0.1470,0.1595,0,0
9.8667,0.2349,0.3581,0.1449,0.1576,0,0
9.9000,0.2350,0.3547,0.1414,0.1539,0,0
9.9333,0.2347,0.3519,0.1394,0.1522,0,0
9.9667,0.2333,0.3498,0.1381,0.1508,0,0
10.0000,0.2329,0.3463,0.1375,0.1505,0,0
10.0333,0.2335,0.3442,0.1366,0.1496,0,0
10.0667,0.2368,0.3446,0.1369,0.1498,0,0
10.1000,0.2378,0.3445,0.1373,0.1501,0,0
10.1333,0.2371,0.3416,0.1388,0.1510,0,0
10.1667,0.2375,0.3418,0.1396,0.1516,0,0
10.2000,0.2371,0.3414,0.1403,0.1523,0,0
10.2333,0.2365,0.3405,0.1412,0.1532,0,0
10.2667,0.2361,0.3396,0.1420,0.1540,0,0
10.3000,0.2356,0.3387,0.1428,0.1546,0,0
10.3333,0.2350,0.3381,0.1434,0.1551,0,0
10.3667,0.2341,0.3377,0.1436,0.1554,0,0
10.4000,0.2338,0.3377,0.1440,0.1556,0,0
10.4333,0.2338,0.3380,0.1442,0.1558,0,0
10.4667,0.2334,0.3378,0.1447,0.1563,0,0
10.5000,0.2332,0.3377,0.1453,0.1569,0,0
10.5333,0.2329,0.3376,0.1460,0.1575,0,0
10.5667,0.2327,0.3377,0.1468,0.1582,0,0
10.6000,0.2331,0.3386,0.1478,0.1591,0,0
10.6333,0.2339,0.3393,0.1483,0.1596,0,0
10.6667,0.2368,0.3405,0.1491,0.1604,0,0
10.7000,0.2388,0.3411,0.1500,0.1610,0,0
10.7333,0.2395,0.3411,0.1506,0.1616,0,0
10.7667,0.2395,0.3411,0.1509,0.1618,0,0
10.8000,0.2391,0.3409,0.1510,0.1619,0,0
10.8333,0.2391,0.3409,0.1512,0.1621,0,0
10.8667,0.2398,0.3414,0.1512,0.1622,0,0
10.9000,0.2401,0.3416,0.1511,0.1622,0,0
10.9333,0.2404,0.3418,0.1511,0.1622,0,0
10.9667,0.2405,0.3416,0.1512,0.1622,0,0
11.0000,0.2401,0.3406,0.1517,0.1627,0,0
11.0333,0.2400,0.3399,0.1520,0.1630,0,0
11.0667,0.2399,0.3398,0.1522,0.1632,0,0
11.1000,0.2397,0.3400,0.1523,0.1634,0,0
11.1333,0.2394,0.3402,0.1527,0.1637,0,0
11.1667,0.2398,0.3405,0.1530,0.1642,0,0
11.2000,0.2411,0.3413,0.1537,0.1649,0,0
11.2333,0.2420,0.3416,0.1544,0.1656,0,0
11.2667,0.2431,0.3422,0.1551,0.1662,0,0
11.3000,0.2456,0.3440,0.1568,0.1678,0,0
11.3333,0.2480,0.3458,0.1584,0.1692,0,0
11.3667,0.2493,0.3469,0.1598,0.1705,0,0
11.4000,0.2509,0.3480,0.1619,0.1723,0,0
11.4333,0.2516,0.3507,0.1658,0.1761,0,0
11.4667,0.2522,0.3523,0.1680,0.1784,0,0
11.5000,0.2516,0.3504,0.1720,0.1820,0,0
11.5333,0.2512,0.3545,0.1792,0.1887,0,0
11.5667,0.2506,0.3587,0.1847,0.1943,0,0
11.6000,0.2509,0.3615,0.1865,0.1961,0,0
11.6333,0.2520,0.3590,0.1862,0.1961,0,0
11.6667,0.2459,0.3544,0.1900,0.1993,0,0
11.7000,0.2478,0.3605,0.1940,0.2034,0,0
11.7333,0.2490,0.3644,0.1957,0.2052,0,0
11.7667,0.2429,0.3659,0.1999,0.2091,0,0
11.8000,0.2399,0.3697,0.2004,0.2098,0,0
11.8333,0.2380,0.3671,0.1973,0.2071,0,0
11.8667,0.2382,0.3708,0.2005,0.2099,0,0
11.9000,0.2342,0.3812,0.2136,0.2222,0,0
11.9333,0.2325,0.3845,0.2172,0.2260,0,0
11.9667,0.2337,0.3873,0.2173,0.2263,0,0
12.0000,0.2350,0.3968,0.2201,0.2287,0,0
12.0333,0.2383,0.4042,0.2233,0.2317,0,0
12.0667,0.2443,0.4090,0.2259,0.2344,0,0
12.1000,0.2456,0.4161,0.2309,0.2393,0,0
12.1333,0.2506,0.4178,0.2317,0.2403,0,0
12.1667,0.2561,0.4164,0.2289,0.2382,0,0
12.2000,0.2607,0.4146,0.2277,0.2373,0,0
12.2333,0.2721,0.4228,0.2335,0.2429,0,0
12.2667,0.2734,0.4286,0.2373,0.2466,0,0
12.3000,0.2772,0.4425,0.2440,0.2531,0,0
12.3333,0.2818,0.4531,0.2474,0.2565,0,0
12.3667,0.2839,0.4665,0.2496,0.2582,0,0
12.4000,0.2938,0.4822,0.2547,0.2631,0,0
12.4333,0.2966,0.4886,0.2567,0.2651,0,0
12.4667,0.2954,0.5001,0.2604,0.2685,0,0
12.5000,0.2936,0.5053,0.2624,0.2707,0,0
12.5333,0.2924,0.5086,0.2630,0.2716,0,0
12.5667,0.2924,0.5144,0.2631,0.2718,0,0
12.6000,0.2927,0.5195,0.2625,0.2714,0,0
12.6333,0.2921,0.5233,0.2617,0.2708,0,0
12.6667,0.2921,0.5193,0.2607,0.2700,0,0
12.7000,0.2924,0.5172,0.2605,0.2700,0,0
12.7333,0.2930,0.5197,0.2608,0.2704,0,0
12.7667,0.2943,0.5212,0.2609,0.2708,0,0
12.8000,0.2954,0.5210,0.2608,0.2708,0,0
12.8333,0.2956,0.5261,0.2613,0.2716,0,0
12.8667,0.2944,0.5248,0.2615,0.2722,0,0
12.9000,0.2913,0.5231,0.2618,0.2728,0,0
12.9333,0.2892,0.5226,0.2617,0.2728,0,0
12.9667,0.2875,0.5218,0.2617,0.2728,0,0
13.0000,0.2861,0.5213,0.2615,0.2728,0,0
13.0333,0.2855,0.5219,0.2612,0.2727,0,0
13.0667,0.2854,0.5221,0.2612,0.2727,0,0
13.1000,0.2852,0.5221,0.2612,0.2728,0,0
13.1333,0.2866,0.5236,0.2611,0.2727,0,0
13.1667,0.2877,0.5245,0.2610,0.2727,0,0
13.2000,0.2881,0.5247,0.2609,0.2727,0,0
13.2333,0.2884,0.5231,0.2608,0.2726,0,0
13.2667,0.2882,0.5230,0.2608,0.2726,0,0
13.3000,0.2875,0.5251,0.2609,0.2729,0,0
13.3333,0.2877,0.5252,0.2611,0.2731,0,0
13.3667,0.2879,0.5242,0.2614,0.2736,0,0
13.4000,0.2883,0.5238,0.2616,0.2739,0,0
13.4333,0.2867,0.5232,0.2616,0.2740,0,0
13.4667,0.2848,0.5223,0.2618,0.2742,0,0
13.5000,0.2844,0.5217,0.2619,0.2744,0,0
13.5333,0.2846,0.5213,0.2620,0.2746,0,0
13.5667,0.2853,0.5209,0.2622,0.2748,0,0
13.6000,0.2855,0.5211,0.2623,0.2750,0,0
13.6333,0.2863,0.5220,0.2624,0.2751,0,0
13.6667,0.2907,0.5243,0.2626,0.2751,0,0
13.7000,0.2947,0.5259,0.2627,0.2752,0,0
13.7333,0.2971,0.5257,0.2627,0.2753,0,0
13.7667,0.2979,0.5249,0.2627,0.2753,0,0
13.8000,0.2964,0.5236,0.2626,0.2753,0,0
13.8333,0.2958,0.5237,0.2626,0.2752,0,0
13.8667,0.2944,0.5215,0.2624,0.2750,0,0
13.9000,0.2939,0.5180,0.2619,0.2748,0,0
13.9333,0.2941,0.5176,0.2618,0.2746,0,0
13.9667,0.2949,0.5187,0.2617,0.2745,0,0
14.0000,0.2956,0.5186,0.2615,0.2743,0,0
14.0333,0.2958,0.5173,0.2612,0.2740,0,0
14.0667,0.2958,0.5150,0.2606,0.2735,0,0
14.1000,0.2956,0.5093,0.2586,0.2717,0,0
14.1333,0.2938,0.5041,0.2566,0.2698,0,0
14.1667,0.2886,0.4989,0.2551,0.2684,0,0
14.2000,0.2814,0.4881,0.2533,0.2669,0,0
14.2333,0.2828,0.4854,0.2516,0.2654,0,0
14.2667,0.2780,0.4785,0.2493,0.2632,0,0
14.3000,0.2762,0.4723,0.2485,0.2626,0,0
14.3333,0.2707,0.4535,0.2454,0.2602,0,0
14.3667,0.2734,0.4412,0.2367,0.2520,0,0
14.4000,0.2771,0.4405,0.2363,0.2515,0,0
14.4333,0.2873,0.4412,0.2340,0.2494,0,0
14.4667,0.2872,0.4370,0.2307,0.2460,0,0
14.5000,0.2864,0.4322,0.2275,0.2429,0,0
14.5333,0.2875,0.4309,0.2219,0.2375,0,0
14.5667,0.2872,0.4257,0.2135,0.2295,0,0
14.6000,0.2832,0.4184,0.2042,0.2204,0,0
14.6333,0.2784,0.4064,0.1955,0.2118,0,0
14.6667,0.2782,0.4008,0.1896,0.2059,0,0
14.7000,0.2817,0.3979,0.1860,0.2021,0,0
14.7333,0.2776,0.3926,0.1827,0.1980,0,0
14.7667,0.2730,0.3864,0.1812,0.1962,0,0
14.8000,0.2696,0.3829,0.1811,0.1957,0,0
14.8333,0.2662,0.3791,0.1801,0.1947,0,0
14.8667,0.2623,0.3740,0.1778,0.1923,0,0
14.9000,0.2602,0.3714,0.1778,0.1920,0,0
14.9333,0.2583,0.3679,0.1758,0.1899,0,0
14.9667,0.2564,0.3650,0.1748,0.1888,0,0
15.0000,0.2522,0.3587,0.1739,0.1874,0,0
15.0333,0.2488,0.3564,0.1721,0.1857,0,0
15.0667,0.2471,0.3555,0.1721,0.1856,0,0
15.1000,0.2468,0.3551,0.1711,0.1846,0,0
15.1333,0.2487,0.3571,0.1707,0.1843,0,0
15.1667,0.2540,0.3590,0.1696,0.1832,0,0
15.2000,0.2612,0.3628,0.1695,0.1828,0,0
