t_s,q_pitch,q_roll,q_yaw,q_elbow
13.6000,0.037130,-0.701226,0.754067,0.287767
13.6167,0.043783,-0.720300,0.752212,0.288932
13.6333,0.026820,-0.734594,0.744407,0.293505
13.6500,0.004873,-0.748306,0.733877,0.282159
13.6667,-0.024458,-0.767299,0.719749,0.253390
13.6833,-0.052971,-0.788460,0.706380,0.194012
13.7000,-0.004631,-0.879667,0.695009,0.118618
13.7167,-0.021411,-0.894838,0.687598,0.050346
13.7333,-0.053801,-0.892846,0.679835,0.007959
13.7500,-0.076506,-0.888185,0.679446,-0.054062
13.7667,-0.085587,-0.889676,0.680677,-0.091748
13.7833,-0.076340,-0.904053,0.684086,-0.104982
13.8000,-0.062837,-0.920975,0.687895,-0.110176
13.8167,-0.049503,-0.947868,0.686907,-0.119836
13.8333,-0.038946,-0.967054,0.687593,-0.127409
13.8500,-0.089085,-0.923830,0.688238,-0.150333
13.8667,-0.137839,-0.886618,0.688421,-0.162369
13.8833,-0.139791,-0.897689,0.688304,-0.207035
13.9000,-0.158807,-0.872456,0.697314,-0.197037
13.9167,-0.185883,-0.828778,0.713553,-0.176933
13.9333,-0.195114,-0.809997,0.722145,-0.181651
13.9500,-0.196229,-0.816135,0.723257,-0.186092
13.9667,-0.105429,-0.913104,0.728475,-0.279445
13.9833,0.020037,-1.041623,0.738355,-0.369540
14.0000,0.082934,-1.116339,0.743043,-0.362245
14.0167,0.063399,-1.127267,0.730671,-0.336086
14.0333,0.187329,-1.234520,0.755758,-0.345134
14.0500,0.364021,-1.318883,0.828494,-0.322814
14.0667,0.434525,-1.356705,0.864848,-0.264832
14.0833,0.458084,-1.362789,0.882470,-0.195228
14.1000,0.531021,-1.365884,0.930125,-0.087067
14.1167,0.720666,-1.241528,1.072039,0.071655
14.1333,0.701346,-1.231532,1.063524,0.170235
14.1500,0.585644,-1.306112,0.989448,0.140167
14.1667,0.486624,-1.348658,0.927248,0.061682
14.1833,0.365379,-1.326444,0.861633,0.055840
14.2000,0.279342,-1.292505,0.819589,0.062451
14.2167,0.235799,-1.268505,0.799705,0.024715
14.2333,0.148587,-1.194161,0.771967,-0.062865
14.2500,0.056318,-1.105044,0.752178,-0.124006
14.2667,0.038044,-1.095868,0.745295,-0.093494
14.2833,0.008749,-1.057083,0.743195,-0.042523
14.3000,-0.020154,-1.016456,0.741964,0.052023
14.3167,-0.020794,-0.983829,0.749870,0.080651
14.3333,-0.042061,-0.940957,0.752762,0.133593
14.3500,-0.015683,-0.938590,0.761572,0.159128
14.3667,-0.028846,-0.889012,0.769950,0.169712
14.3833,0.036791,-0.909241,0.786948,0.167234
14.4000,0.010827,-0.869048,0.787040,0.215990
14.4167,-0.020406,-0.820530,0.787975,0.250870
14.4333,0.038258,-0.851329,0.796280,0.281935
14.4500,0.023477,-0.821388,0.793230,0.386197
14.4667,0.118387,-0.864817,0.803537,0.438655
14.4833,0.093746,-0.827089,0.787548,0.579063
14.5000,0.102254,-0.818928,0.770043,0.668681
14.5167,0.089973,-0.802468,0.742015,0.761858
14.5333,0.087531,-0.793158,0.713253,0.821178
14.5500,0.077373,-0.785269,0.682307,0.866858
14.5667,0.078027,-0.785548,0.652161,0.900788
14.5833,0.087649,-0.785244,0.628218,0.924540
14.6000,0.115794,-0.789579,0.605757,0.902730
14.6167,0.029285,-0.763640,0.583948,0.806131
14.6333,0.125939,-0.789084,0.583525,0.746713
14.6500,0.192453,-0.790135,0.583689,0.812037
14.6667,0.138634,-0.765893,0.575466,0.691417
14.6833,0.137979,-0.740875,0.587734,0.528628
14.7000,0.090528,-0.673805,0.607827,0.409382
14.7167,0.057176,-0.624488,0.631560,0.306561
14.7333,0.050954,-0.592811,0.661233,0.214393
14.7500,0.022769,-0.520562,0.698769,0.167349
14.7667,0.032505,-0.506147,0.726735,0.142060
14.7833,0.058276,-0.534041,0.736583,0.147918
14.8000,0.096638,-0.532890,0.774556,0.103335
14.8167,0.098122,-0.546363,0.790337,0.148734
14.8333,0.127360,-0.617515,0.792316,0.222091
14.8500,0.170701,-0.653429,0.806043,0.317861
14.8667,0.200398,-0.651942,0.818111,0.497698
14.8833,0.197885,-0.620132,0.813100,0.668161
14.9000,0.182051,-0.594115,0.808104,0.663154
14.9167,0.191101,-0.577141,0.807895,0.633322
14.9333,0.198869,-0.548143,0.811665,0.650826
14.9500,0.190711,-0.535389,0.809093,0.629652
14.9667,0.174178,-0.495990,0.815397,0.542491
14.9833,0.162163,-0.450452,0.831831,0.457659
15.0000,0.134328,-0.414957,0.837411,0.424149
15.0167,0.128781,-0.413541,0.840840,0.417455
15.0333,0.135916,-0.429944,0.847801,0.402968
15.0500,0.131084,-0.425732,0.857518,0.373514
15.0667,0.136116,-0.468599,0.852822,0.374097
15.0833,0.152784,-0.516776,0.849905,0.418247
15.1000,0.182617,-0.566362,0.845430,0.526590
15.1167,0.219336,-0.608900,0.838364,0.606305
15.1333,0.236001,-0.623352,0.820607,0.725240
15.1500,0.234320,-0.632095,0.770023,0.915386
15.1667,0.286270,-0.641246,0.757671,0.726642
15.1833,0.283651,-0.637546,0.754877,0.723184
15.2000,0.272461,-0.647395,0.742041,0.742983
15.2167,0.245358,-0.640092,0.732000,0.663024
15.2333,0.210209,-0.652832,0.719013,0.652578
15.2500,0.223882,-0.648777,0.725925,0.525674
15.2667,0.220486,-0.656501,0.728635,0.468168
15.2833,0.224907,-0.656645,0.733856,0.555889
15.3000,0.243124,-0.674459,0.730228,0.653018
15.3167,0.251269,-0.726971,0.715524,0.595685
15.3333,0.213902,-0.741697,0.700854,0.567296
15.3500,0.201757,-0.752471,0.695032,0.520985
15.3667,0.198566,-0.774152,0.688709,0.503103
15.3833,0.138105,-0.754270,0.679381,0.467807
15.4000,0.081625,-0.716057,0.679005,0.449936
15.4167,0.058032,-0.693012,0.683091,0.422731
15.4333,0.049004,-0.689244,0.685678,0.406873
15.4500,0.041677,-0.696542,0.686665,0.389363
15.4667,0.031054,-0.687953,0.689270,0.381138
15.4833,0.005908,-0.664506,0.694446,0.376556
15.5000,-0.026568,-0.629107,0.703479,0.385429
15.5167,-0.053764,-0.591878,0.714936,0.387818
15.5333,-0.063084,-0.573129,0.725348,0.394679
15.5500,-0.069067,-0.556249,0.732596,0.388153
15.5667,-0.070411,-0.561463,0.735596,0.381862
15.5833,-0.025951,-0.633052,0.733190,0.335763
15.6000,-0.021267,-0.641112,0.737452,0.359615
15.6167,-0.016689,-0.670703,0.733502,0.339558
15.6333,-0.006264,-0.713998,0.727925,0.292611
15.6500,-0.023612,-0.746544,0.712871,0.291326
15.6667,0.005015,-0.830993,0.697263,0.217840
15.6833,0.035268,-0.892965,0.690176,0.151841
15.7000,0.060252,-0.949306,0.682613,0.070474
15.7167,0.017187,-0.933680,0.675523,0.026937
15.7333,-0.043222,-0.887783,0.676562,0.007241
15.7500,-0.042730,-0.912841,0.673416,-0.054124
15.7667,-0.057183,-0.883277,0.683750,-0.078740
15.7833,-0.030885,-0.908431,0.692637,-0.138104
15.8000,0.010135,-0.941003,0.705207,-0.187330
15.8167,0.082511,-0.993259,0.722059,-0.215124
15.8333,0.097199,-0.998483,0.730733,-0.206950
15.8500,0.140278,-1.045045,0.737557,-0.210771
15.8667,0.152813,-1.058280,0.741567,-0.196648
15.8833,0.194876,-1.097030,0.751186,-0.194233
15.9000,0.181909,-1.091434,0.749219,-0.193584
15.9167,0.213047,-1.136172,0.751374,-0.193983
15.9333,0.246835,-1.179958,0.755618,-0.188241
15.9500,0.281925,-1.216451,0.763702,-0.177706
15.9667,0.262421,-1.214041,0.756493,-0.158251
15.9833,0.254904,-1.219527,0.752494,-0.131123
16.0000,0.249038,-1.228466,0.747723,-0.105978
16.0167,0.294062,-1.260552,0.761164,-0.090687
16.0333,0.402102,-1.310086,0.803740,-0.076856
16.0500,0.442845,-1.324306,0.824343,-0.038509
16.0667,0.445534,-1.332096,0.826024,-0.064372
