t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
10.7833,0.2137,0.4795,0.2266,0.2018,0,0
10.8000,0.1861,0.4630,0.2108,0.1830,0,0
10.8500,0.1758,0.4315,0.2470,0.2274,0,0
10.8667,0.1128,0.4228,0.2628,0.2493,0,0
10.8833,0.0548,0.4159,0.2690,0.2609,0,0
10.9000,0.0291,0.4023,0.2686,0.2611,0,0
10.9167,0.0085,0.3912,0.2681,0.2611,0,0
10.9333,0.0000,0.3675,0.2706,0.2599,1,0
10.9500,0.0000,0.3761,0.2839,0.2652,1,0
10.9667,0.0000,0.3701,0.2841,0.2640,1,0
10.9833,0.0000,0.3771,0.2862,0.2658,1,0
11.0000,0.0000,0.3876,0.2850,0.2675,1,0
11.0167,0.0000,0.4048,0.2792,0.2686,1,0
11.0333,0.0000,0.4160,0.2777,0.2690,1,0
11.0500,0.0293,0.4451,0.2743,0.2683,0,0
11.0667,0.1099,0.4808,0.2707,0.2615,0,0
11.0833,0.1859,0.5131,0.2615,0.2497,0,0
11.1000,0.2162,0.5371,0.2383,0.2217,0,0
11.1167,0.1743,0.5414,0.1856,0.1596,0,0
11.1333,0.1254,0.5343,0.1445,0.1118,0,0
11.1500,0.0980,0.5301,0.1247,0.0864,0,0
11.1667,0.1656,0.5452,0.1542,0.1223,0,0
11.1833,0.2628,0.5294,0.2511,0.2271,0,0
11.2000,0.1908,0.5151,0.2708,0.2478,0,0
11.2167,0.1509,0.5151,0.2797,0.2587,0,0
11.2333,0.1309,0.5224,0.2837,0.2617,0,0
11.2500,0.4323,0.5312,0.2419,0.2491,0,0
11.2667,0.4947,0.5359,0.2441,0.2500,0,0
11.2833,0.4991,0.5499,0.2457,0.2510,0,0
11.3000,0.4938,0.5643,0.2472,0.2526,0,0
11.3167,0.4990,0.5646,0.2501,0.2562,0,0
11.3333,0.4994,0.5677,0.2514,0.2575,0,0
11.3500,0.4967,0.5762,0.2543,0.2599,0,0
11.3667,0.5013,0.5806,0.2562,0.2624,0,0
11.3833,0.5044,0.5807,0.2587,0.2646,0,0
11.4000,0.4930,0.5664,0.2609,0.2667,0,0
11.4167,0.4746,0.5459,0.2630,0.2689,0,0
11.4333,0.4585,0.5334,0.2642,0.2704,0,0
11.4500,0.4472,0.5247,0.2647,0.2711,0,0
11.4667,0.4352,0.5159,0.2650,0.2718,0,0
11.4833,0.4290,0.5126,0.2651,0.2722,0,0
11.5000,0.4268,0.5125,0.2651,0.2724,0,0
11.5167,0.4333,0.5211,0.2651,0.2726,0,0
11.5333,0.4259,0.5133,0.2651,0.2729,0,0
11.5500,0.4237,0.5095,0.2649,0.2727,0,0
11.5667,0.4180,0.5130,0.2638,0.2722,0,0
11.5833,0.4075,0.5176,0.2629,0.2721,0,0
11.6000,0.4064,0.5440,0.2612,0.2707,0,0
11.6167,0.4354,0.5808,0.2592,0.2677,0,0
11.6333,0.4416,0.5520,0.2567,0.2633,0,0
11.6500,0.4668,0.5249,0.2551,0.2628,0,0
11.6667,0.4793,0.4702,0.2483,0.2556,0,0
11.6833,0.4375,0.4187,0.2366,0.2406,0,0
11.7000,0.4073,0.3933,0.2291,0.2344,0,0
11.7167,0.3796,0.3695,0.2245,0.2312,0,0
11.7333,0.3292,0.3126,0.2073,0.2114,0,0
11.7500,0.3042,0.2882,0.1978,0.2019,0,0
11.7667,0.2916,0.2733,0.1915,0.1938,0,0
11.7833,0.2906,0.2699,0.1887,0.1876,0,0
11.8000,0.3055,0.2927,0.1949,0.1988,0,0
11.8167,0.3127,0.2984,0.1972,0.2007,0,0
11.8333,0.3200,0.3012,0.1966,0.1967,0,0
11.8500,0.3313,0.3178,0.2003,0.2044,0,0
11.8667,0.3484,0.3358,0.2075,0.2124,0,0
11.8833,0.3621,0.3495,0.2147,0.2197,0,0
11.9000,0.3628,0.3405,0.2115,0.2088,0,0
11.9167,0.3745,0.3575,0.2148,0.2104,0,0
11.9333,0.3797,0.3616,0.2145,0.2059,0,0
11.9500,0.3989,0.3832,0.2184,0.2082,0,0
11.9667,0.4193,0.3986,0.2238,0.2072,0,0
11.9833,0.4246,0.4084,0.2266,0.2098,0,0
12.0000,0.3971,0.4440,0.2397,0.2212,0,0
12.0167,0.3491,0.3936,0.2559,0.2404,0,0
12.0333,0.3030,0.3478,0.2681,0.2573,0,0
12.0500,0.3165,0.3496,0.2656,0.2548,0,0
12.0667,0.3405,0.3670,0.2606,0.2482,0,0
12.0833,0.3719,0.4006,0.2531,0.2389,0,0
12.1000,0.3915,0.4520,0.2465,0.2289,0,0
12.1167,0.3771,0.4661,0.2436,0.2241,0,0
12.1333,0.3463,0.4109,0.2375,0.2189,0,0
12.1500,0.3029,0.4035,0.2416,0.2226,0,0
12.1667,0.2306,0.4204,0.2537,0.2352,0,0
12.1833,0.1969,0.4445,0.2666,0.2399,0,0
12.2000,0.1828,0.4714,0.2730,0.2460,0,0
12.2167,0.1440,0.4731,0.2770,0.2526,0,0
12.2333,0.0807,0.4777,0.2819,0.2623,0,0
12.2667,0.0954,0.4623,0.2814,0.2582,0,0
12.2833,0.0757,0.4792,0.2834,0.2637,0,0
12.5833,0.2921,0.6161,0.1934,0.1795,0,0
12.6000,0.2954,0.6272,0.2537,0.2380,0,0
12.6333,0.0988,0.5665,0.2904,0.2719,0,0
12.6500,0.0940,0.5421,0.2845,0.2737,0,0
12.6667,0.1260,0.5114,0.2702,0.2727,0,0
12.6833,0.0960,0.5007,0.2667,0.2724,0,0
12.7000,0.0010,0.5055,0.2841,0.2735,0,0
12.7167,0.0028,0.5293,0.2897,0.2759,0,0
12.7333,0.0755,0.5574,0.2851,0.2768,0,0
12.7500,0.1705,0.5817,0.2779,0.2699,0,0
12.7667,0.2246,0.5721,0.2687,0.2608,0,0
12.7833,0.1782,0.5569,0.2512,0.2383,0,0
12.8000,0.1574,0.5429,0.2389,0.2220,0,0
12.8167,0.1686,0.5307,0.2348,0.2143,0,0
12.8333,0.1754,0.5146,0.2462,0.2285,0,0
12.8500,0.1751,0.4917,0.2473,0.2297,0,0
12.8667,0.1849,0.4730,0.2471,0.2293,0,0
12.8833,0.1344,0.4617,0.2631,0.2540,0,0
12.9000,0.1354,0.4596,0.2624,0.2536,0,0
12.9167,0.1008,0.4554,0.2676,0.2613,0,0
12.9333,0.0737,0.4506,0.2694,0.2660,0,0
12.9500,0.0359,0.4440,0.2713,0.2696,0,0
12.9667,0.0615,0.4661,0.2742,0.2697,0,0
12.9833,0.1051,0.4892,0.2738,0.2658,0,0
13.0000,0.1706,0.5086,0.2650,0.2538,0,0
13.0167,0.2356,0.5169,0.2453,0.2276,0,0
13.0333,0.1986,0.5157,0.2076,0.1849,0,0
13.0500,0.1472,0.5046,0.2715,0.2598,0,0
13.0667,0.1925,0.5171,0.2646,0.2526,0,0
13.0833,0.2149,0.5302,0.2526,0.2347,0,0
13.1000,0.2098,0.5420,0.2353,0.2133,0,0
13.1167,0.2109,0.5437,0.2533,0.2359,0,0
13.1333,0.2174,0.5390,0.2558,0.2385,0,0
13.1500,0.2091,0.5446,0.2466,0.2275,0,0
13.1667,0.2106,0.5477,0.2351,0.2125,0,0
13.1833,0.2281,0.5614,0.2353,0.2118,0,0
13.2000,0.2531,0.5635,0.2482,0.2274,0,0
13.2167,0.2484,0.5565,0.2599,0.2414,0,0
13.2333,0.2304,0.5591,0.2651,0.2463,0,0
13.2500,0.2264,0.5444,0.2608,0.2429,0,0
13.2667,0.1975,0.5503,0.2645,0.2497,0,0
13.2833,0.3543,0.5329,0.2393,0.2462,0,0
13.3000,0.4699,0.5429,0.2388,0.2480,0,0
13.3167,0.4850,0.5662,0.2479,0.2563,0,0
13.3333,0.4979,0.5839,0.2535,0.2616,0,0
13.3500,0.5099,0.5923,0.2549,0.2629,0,0
13.3667,0.5039,0.5861,0.2588,0.2661,0,0
13.3833,0.5035,0.5804,0.2590,0.2663,0,0
13.4000,0.4905,0.5530,0.2624,0.2686,0,0
13.4167,0.4795,0.5419,0.2630,0.2693,0,0
13.4333,0.4656,0.5212,0.2638,0.2696,0,0
13.4500,0.4664,0.5234,0.2643,0.2705,0,0
13.4667,0.4697,0.5268,0.2648,0.2712,0,0
13.4833,0.4735,0.5356,0.2655,0.2723,0,0
13.5000,0.4781,0.5474,0.2652,0.2727,0,0
13.5167,0.4815,0.5597,0.2644,0.2726,0,0
13.5333,0.4763,0.5589,0.2642,0.2726,0,0
13.5500,0.4723,0.5608,0.2638,0.2726,0,0
13.5667,0.4688,0.5684,0.2630,0.2724,0,0
13.5833,0.4733,0.5755,0.2626,0.2721,0,0
13.6000,0.4708,0.5720,0.2626,0.2721,0,0
13.6167,0.4738,0.5821,0.2616,0.2714,0,0
13.6333,0.4750,0.5897,0.2606,0.2704,0,0
13.6500,0.4753,0.5967,0.2600,0.2698,0,0
13.6667,0.4769,0.5828,0.2594,0.2690,0,0
13.6833,0.4748,0.5540,0.2585,0.2677,0,0
13.7000,0.4830,0.5175,0.2527,0.2603,0,0
13.7167,0.4982,0.4845,0.2478,0.2558,0,0
13.7333,0.4760,0.4639,0.2449,0.2527,0,0
13.7500,0.4466,0.4339,0.2405,0.2478,0,0
13.7667,0.4296,0.4156,0.2375,0.2440,0,0
13.7833,0.4251,0.4092,0.2364,0.2420,0,0
13.8000,0.4232,0.4067,0.2354,0.2406,0,0
13.8167,0.4186,0.4021,0.2330,0.2378,0,0
13.8333,0.4149,0.3984,0.2312,0.2356,0,0
13.8500,0.3995,0.3873,0.2295,0.2358,0,0
13.8667,0.3934,0.3815,0.2297,0.2364,0,0
13.8833,0.3744,0.3598,0.2241,0.2297,0,0
13.9000,0.3782,0.3647,0.2263,0.2330,0,0
13.9167,0.3873,0.3744,0.2309,0.2386,0,0
13.9333,0.3861,0.3721,0.2315,0.2391,0,0
13.9500,0.3845,0.3700,0.2308,0.2383,0,0
13.9667,0.3467,0.3248,0.2163,0.2207,0,0
13.9833,0.3067,0.2811,0.1988,0.1997,0,0
14.0000,0.3065,0.2847,0.1966,0.1966,0,0
14.0167,0.3137,0.2973,0.1984,0.1990,0,0
14.0333,0.3177,0.2930,0.1991,0.1913,0,0
14.0500,0.3315,0.3038,0.2073,0.1942,0,0
14.0667,0.3515,0.3318,0.2149,0.2018,0,0
14.0833,0.3822,0.3655,0.2228,0.2106,0,0
14.1000,0.3751,0.4179,0.2380,0.2238,0,0
14.1167,0.2909,0.3603,0.2668,0.2551,0,0
14.1333,0.3133,0.3686,0.2652,0.2548,0,0
14.1500,0.3580,0.4177,0.2547,0.2414,0,0
14.1667,0.3664,0.4597,0.2484,0.2310,0,0
14.1833,0.3605,0.4871,0.2486,0.2275,0,0
14.2000,0.3382,0.4903,0.2530,0.2278,0,0
14.2167,0.3181,0.4721,0.2542,0.2278,0,0
14.2333,0.2677,0.4296,0.2530,0.2290,0,0
14.2500,0.2271,0.4000,0.2501,0.2305,0,0
14.2667,0.2672,0.4148,0.2505,0.2336,0,0
14.2833,0.2853,0.4395,0.2538,0.2412,0,0
14.3000,0.2317,0.4852,0.2695,0.2505,0,0
14.3167,0.2277,0.4991,0.2721,0.2550,0,0
14.3333,0.2311,0.5247,0.2738,0.2601,0,0
14.3500,0.2484,0.5371,0.2727,0.2613,0,0
14.3667,0.2151,0.5422,0.2763,0.2653,0,0
14.3833,0.1988,0.5410,0.2800,0.2650,0,0
14.4000,0.1785,0.5646,0.2837,0.2675,0,0
14.4167,0.1590,0.5815,0.2859,0.2698,0,0
14.4333,0.1994,0.5966,0.2803,0.2676,0,0
14.4500,0.2141,0.6358,0.2754,0.2632,0,0
14.4667,0.2527,0.6165,0.2662,0.2561,0,0
14.4833,0.2687,0.6271,0.2551,0.2400,0,0
14.5000,0.3026,0.6235,0.2408,0.2248,0,0
14.5167,0.3367,0.6262,0.2249,0.2066,0,0
14.5333,0.3409,0.6214,0.2125,0.1935,0,0
14.5500,0.3188,0.6174,0.2034,0.1826,0,0
14.5667,0.3002,0.6177,0.1950,0.1738,0,0
14.5833,0.2916,0.6176,0.1887,0.1675,0,0
14.6000,0.2836,0.6181,0.1936,0.1723,0,0
14.6167,0.3412,0.6064,0.2213,0.1959,0,0
14.6333,0.3414,0.6139,0.2216,0.2065,0,0
14.6500,0.3665,0.5856,0.2085,0.1928,0,0
14.6667,0.3012,0.6077,0.2399,0.2185,0,0
14.6833,0.2534,0.5945,0.2599,0.2454,0,0
14.7000,0.2078,0.5590,0.2713,0.2615,0,0
14.7167,0.2059,0.5328,0.2699,0.2694,0,0
14.7333,0.2169,0.5158,0.2658,0.2719,0,0
14.7500,0.1450,0.4775,0.2628,0.2719,0,0
14.7667,0.1584,0.4697,0.2590,0.2714,0,0
14.7833,0.2245,0.4844,0.2595,0.2724,0,0
14.8000,0.0375,0.4836,0.2689,0.2713,0,0
14.8167,0.0000,0.4906,0.2904,0.2739,1,0
14.8333,0.0438,0.5281,0.2849,0.2758,0,0
14.8500,0.1138,0.5470,0.2807,0.2739,0,0
14.8667,0.1883,0.5461,0.2706,0.2600,0,0
14.8833,0.2337,0.5294,0.2520,0.2351,0,0
